Region and country of birth;Continent;Year;Total;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Guam;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Puerto Rico;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
Norway;Europe;2021; 719 ; 3 ; 6 ; 10 ; -   ; 168 ; 13 ; 17 ; -   ; 5 ; 73 ; 6 ; -   ; 11 ; -   ; 21 ; -   ; -   ; -   ; 4 ; -   ; 3 ; 8 ; 27 ; 6 ; 21 ; -   ; 5 ; 4 ; -   ; 4 ; 9 ; 12 ; 4 ; 46 ; 9 ; 5 ; 4 ; 8 ; 17 ; 14 ; -   ; 3 ; 3 ; -   ; 3 ; 69 ; 8 ; -   ; 24 ; 35 ; -   ; 13 ; -   
Pakistan;Asia;2021; 12.377 ; 16 ; 7 ; 98 ; 17 ; 1.388 ; 47 ; 247 ; 55 ; 9 ; 408 ; 258 ; -   ; -   ; 6 ; 749 ; 65 ; 30 ; 27 ; 37 ; 46 ; 4 ; 535 ; 254 ; 278 ; 61 ; 5 ; 65 ; -   ; 14 ; 35 ; 33 ; 862 ; 10 ; 2.408 ; 245 ; -   ; 166 ; 68 ; 30 ; 409 ; -   ; 33 ; 10 ; 9 ; 45 ; 1.926 ; 29 ; 3 ; 910 ; 215 ; 17 ; 75 ; -   
Panama;North America;2021; 1.322 ; 8 ; 4 ; 19 ; 3 ; 130 ; 10 ; 10 ; 4 ; 4 ; 330 ; 66 ; -   ; -   ; -   ; 18 ; 6 ; 3 ; 4 ; 8 ; 7 ; -   ; 34 ; 28 ; 5 ; 6 ; 9 ; 5 ; 3 ; 4 ; 12 ; 3 ; 33 ; -   ; 190 ; 39 ; 3 ; 9 ; 7 ; 4 ; 26 ; 14 ; 3 ; 19 ; -   ; 14 ; 126 ; 6 ; -   ; 40 ; 17 ; -   ; 8 ; -   
Paraguay;South America;2021; 404 ; -   ; -   ; 3 ; -   ; 24 ; 5 ; 10 ; -   ; 4 ; 83 ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; 25 ; 7 ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 36 ; -   ; 110 ; 5 ; -   ; 3 ; -   ; -   ; 9 ; 4 ; -   ; -   ; -   ; -   ; 19 ; 5 ; -   ; 14 ; 3 ; -   ; -   ; -   
Peru;South America;2021; 10.095 ; 9 ; 5 ; 96 ; 21 ; 1.547 ; 125 ; 339 ; 12 ; 25 ; 2.368 ; 194 ; -   ; 18 ; 22 ; 112 ; 49 ; 16 ; 16 ; 25 ; 12 ; 4 ; 339 ; 133 ; 27 ; 34 ; 11 ; 34 ; 19 ; 10 ; 78 ; 17 ; 1.226 ; 13 ; 990 ; 200 ; -   ; 86 ; 36 ; 48 ; 153 ; 32 ; 23 ; 26 ; 4 ; 50 ; 486 ; 190 ; 12 ; 520 ; 104 ; 12 ; 46 ; -   
Poland;Europe;2021; 6.741 ; 6 ; 3 ; 80 ; -   ; 408 ; 79 ; 483 ; 11 ; 9 ; 356 ; 39 ; -   ; 10 ; 8 ; 2.036 ; 33 ; 9 ; 7 ; 15 ; -   ; 8 ; 48 ; 125 ; 129 ; 20 ; 4 ; 20 ; 5 ; 3 ; 33 ; 16 ; 827 ; 4 ; 1.162 ; 47 ; 3 ; 43 ; 7 ; 24 ; 168 ; 3 ; 18 ; 14 ; -   ; 18 ; 116 ; 10 ; 6 ; 57 ; 81 ; 3 ; 62 ; -   
Portugal;Europe;2021; 1.555 ; -   ; -   ; 8 ; -   ; 161 ; 5 ; 76 ; -   ; 3 ; 80 ; 10 ; -   ; -   ; -   ; 7 ; 6 ; -   ; -   ; 3 ; -   ; -   ; 19 ; 288 ; 5 ; -   ; -   ; -   ; -   ; 4 ; 7 ; 10 ; 426 ; 3 ; 159 ; 15 ; -   ; 4 ; -   ; -   ; 25 ; -   ; 113 ; 3 ; -   ; 4 ; 30 ; 5 ; -   ; 22 ; 14 ; -   ; 10 ; -   
Philippines;Asia;2021; 48.478 ; 141 ; 306 ; 1.116 ; 146 ; 19.328 ; 323 ; 340 ; 98 ; 55 ; 2.161 ; 383 ; 628 ; 2.141 ; 88 ; 1.586 ; 289 ; 117 ; 173 ; 182 ; 180 ; 56 ; 1.168 ; 320 ; 437 ; 207 ; 95 ; 316 ; 55 ; 70 ; 1.605 ; 78 ; 1.924 ; 217 ; 2.500 ; 500 ; 121 ; 410 ; 179 ; 340 ; 527 ; 4 ; 61 ; 202 ; 58 ; 222 ; 3.108 ; 171 ; 35 ; 1.121 ; 1.558 ; 55 ; 252 ; 26 
Qatar;Asia;2021; 140 ; -   ; -   ; 6 ; -   ; 24 ; 4 ; -   ; -   ; -   ; 5 ; 4 ; -   ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; 8 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 ; -   ; 10 ; 4 ; -   ; -   ; 3 ; 4 ; 5 ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; -   ; 8 ; 6 ; -   ; -   ; -   
Romania;Europe;2021; 3.117 ; 8 ; 4 ; 165 ; 7 ; 418 ; 41 ; 61 ; 7 ; 5 ; 366 ; 93 ; -   ; 8 ; 13 ; 291 ; 20 ; 9 ; 9 ; 16 ; 10 ; 4 ; 60 ; 86 ; 153 ; 23 ; -   ; 29 ; 5 ; -   ; 34 ; 23 ; 72 ; 4 ; 253 ; 47 ; 4 ; 73 ; 19 ; 69 ; 71 ; -   ; 6 ; 15 ; 4 ; 22 ; 160 ; 15 ; -   ; 87 ; 173 ; -   ; 21 ; -   
Russia;Europe;2021; 7.303 ; 11 ; 24 ; 72 ; 11 ; 1.585 ; 159 ; 102 ; 11 ; 15 ; 787 ; 100 ; -   ; 22 ; 19 ; 231 ; 34 ; 12 ; 20 ; 30 ; 21 ; 8 ; 124 ; 277 ; 80 ; 67 ; 7 ; 43 ; 6 ; 17 ; 63 ; 29 ; 312 ; 8 ; 1.190 ; 127 ; 4 ; 107 ; 25 ; 97 ; 262 ; -   ; 9 ; 37 ; 9 ; 33 ; 311 ; 33 ; 8 ; 184 ; 428 ; 6 ; 56 ; 3 
Rwanda;Africa;2021; 502 ; -   ; -   ; 45 ; -   ; 12 ; 9 ; 3 ; -   ; -   ; 8 ; 10 ; -   ; -   ; -   ; 11 ; 14 ; 11 ; 4 ; 33 ; -   ; 25 ; 11 ; 13 ; 31 ; 4 ; -   ; 10 ; -   ; -   ; -   ; 12 ; 6 ; -   ; 24 ; 8 ; 6 ; 29 ; -   ; 4 ; 9 ; -   ; 3 ; -   ; -   ; 11 ; 88 ; 10 ; -   ; 9 ; 4 ; -   ; 3 ; -   
Saint Kitts and Nevis;North America;2021; 253 ; -   ; -   ; -   ; -   ; 3 ; -   ; 6 ; -   ; -   ; 68 ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 13 ; -   ; 59 ; -   ; -   ; -   ; -   ; -   ; 6 ; 3 ; -   ; -   ; -   ; -   ; 18 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   
Saint Lucia;North America;2021; 817 ; -   ; -   ; 6 ; -   ; 14 ; -   ; 52 ; -   ; 3 ; 113 ; 29 ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; 6 ; -   ; 22 ; 16 ; 3 ; -   ; -   ; 3 ; -   ; 3 ; 3 ; -   ; 43 ; -   ; 352 ; 8 ; -   ; -   ; -   ; -   ; 19 ; -   ; -   ; -   ; -   ; -   ; 41 ; -   ; -   ; 6 ; 4 ; -   ; -   ; -   
Saint Vincent and the Grenadines;North America;2021; 479 ; -   ; -   ; 5 ; -   ; 13 ; -   ; 15 ; 3 ; -   ; 33 ; 10 ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 10 ; 21 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; 273 ; 4 ; -   ; -   ; -   ; -   ; 17 ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; 9 ; -   ; -   ; -   ; -   
Samoa;Oceania;2021; 201 ; -   ; 9 ; 13 ; -   ; 64 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 21 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 27 ; -   ; -   ; 33 ; -   ; -   ; -   
Saudi Arabia;Asia;2021; 1.382 ; 8 ; 3 ; 26 ; 8 ; 239 ; 15 ; 19 ; -   ; -   ; 72 ; 16 ; -   ; -   ; -   ; 87 ; 11 ; 12 ; 8 ; 10 ; 4 ; 3 ; 37 ; 30 ; 58 ; 25 ; -   ; 18 ; -   ; 4 ; 8 ; -   ; 68 ; -   ; 106 ; 23 ; -   ; 39 ; 4 ; 13 ; 55 ; -   ; -   ; -   ; -   ; 11 ; 180 ; -   ; -   ; 84 ; 31 ; -   ; 10 ; -   
Senegal;Africa;2021; 1.057 ; -   ; -   ; 5 ; -   ; 40 ; 15 ; 6 ; -   ; 6 ; 18 ; 57 ; -   ; -   ; -   ; 9 ; 17 ; -   ; 5 ; 29 ; 6 ; -   ; 79 ; 28 ; 29 ; 7 ; -   ; 10 ; -   ; -   ; 6 ; -   ; 39 ; -   ; 310 ; 33 ; -   ; 95 ; 4 ; -   ; 27 ; -   ; 27 ; -   ; -   ; 18 ; 53 ; -   ; -   ; 29 ; 9 ; -   ; 12 ; -   
Serbia;Europe;2021; 936 ; -   ; 3 ; 25 ; -   ; 133 ; 12 ; 5 ; -   ; -   ; 118 ; 11 ; -   ; 3 ; 4 ; 153 ; 15 ; 3 ; -   ; 3 ; -   ; 4 ; 17 ; 25 ; 18 ; 6 ; -   ; 6 ; -   ; -   ; 14 ; -   ; 36 ; -   ; 131 ; 10 ; 3 ; 22 ; -   ; 6 ; 22 ; -   ; -   ; 3 ; -   ; 10 ; 31 ; 3 ; -   ; 20 ; 18 ; -   ; 19 ; -   
Serbia and Montenegro (former);Europe;2021; 618 ; -   ; -   ; 16 ; -   ; 76 ; 7 ; 23 ; -   ; -   ; 47 ; 10 ; -   ; -   ; -   ; 44 ; 9 ; -   ; 3 ; 4 ; -   ; -   ; 6 ; 14 ; 32 ; -   ; -   ; 9 ; -   ; -   ; 8 ; 7 ; 24 ; -   ; 144 ; 3 ; -   ; 23 ; -   ; 4 ; 15 ; -   ; 4 ; -   ; -   ; -   ; 14 ; -   ; -   ; 14 ; 19 ; -   ; 6 ; -   
Sierra Leone;Africa;2021; 1.324 ; -   ; -   ; 12 ; -   ; 57 ; 5 ; 7 ; 10 ; 10 ; 9 ; 42 ; -   ; -   ; -   ; 3 ; 3 ; 3 ; 3 ; -   ; -   ; -   ; 328 ; 44 ; 4 ; 20 ; -   ; 5 ; -   ; -   ; 4 ; 3 ; 73 ; 3 ; 129 ; 29 ; 9 ; 63 ; -   ; 8 ; 120 ; -   ; 3 ; -   ; -   ; 4 ; 70 ; -   ; -   ; 171 ; 20 ; -   ; 6 ; -   
Singapore;Asia;2021; 301 ; -   ; -   ; 8 ; -   ; 94 ; 5 ; 3 ; -   ; -   ; 10 ; 6 ; -   ; -   ; -   ; 7 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 8 ; -   ; 5 ; -   ; 3 ; -   ; -   ; 3 ; -   ; 15 ; -   ; 35 ; 3 ; -   ; -   ; -   ; 6 ; 4 ; -   ; 3 ; -   ; -   ; 4 ; 27 ; 5 ; -   ; 6 ; 19 ; -   ; -   ; -   
Slovakia;Europe;2021; 424 ; -   ; -   ; 8 ; -   ; 55 ; 12 ; 20 ; -   ; -   ; 60 ; 7 ; -   ; -   ; -   ; 16 ; -   ; -   ; -   ; -   ; 3 ; -   ; 11 ; 8 ; 4 ; 4 ; -   ; 5 ; -   ; -   ; 7 ; 3 ; 49 ; -   ; 59 ; 8 ; -   ; 4 ; -   ; 6 ; 21 ; -   ; -   ; 3 ; -   ; -   ; 14 ; -   ; -   ; 6 ; 4 ; -   ; 3 ; -   
Slovenia;Europe;2021; 69 ; -   ; -   ; 3 ; -   ; 23 ; 3 ; -   ; -   ; -   ; 7 ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 7 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; -   ; -   ; -   
Somalia;Africa;2021; 4.601 ; -   ; 7 ; 82 ; -   ; 88 ; 116 ; 4 ; -   ; -   ; 3 ; 36 ; -   ; -   ; 8 ; 28 ; 16 ; 51 ; 17 ; 172 ; -   ; 90 ; 9 ; 76 ; 29 ; 1.907 ; -   ; 89 ; -   ; 155 ; 3 ; 4 ; -   ; -   ; 97 ; 26 ; 75 ; 514 ; -   ; 91 ; 44 ; -   ; -   ; -   ; 27 ; 39 ; 111 ; 33 ; 22 ; 37 ; 310 ; -   ; 144 ; -   
South Africa;Africa;2021; 2.442 ; 10 ; 6 ; 56 ; 13 ; 401 ; 69 ; 37 ; 6 ; 7 ; 332 ; 112 ; -   ; 12 ; 10 ; 52 ; 28 ; 11 ; 17 ; 37 ; 14 ; 9 ; 46 ; 68 ; 33 ; 30 ; 4 ; 22 ; 8 ; 15 ; 23 ; 8 ; 64 ; -   ; 122 ; 92 ; 17 ; 27 ; 15 ; 33 ; 49 ; -   ; 6 ; 33 ; 9 ; 16 ; 237 ; 20 ; 6 ; 72 ; 69 ; 6 ; 23 ; 3 
South Sudan;Africa;2021; 122 ; -   ; -   ; 7 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; 4 ; -   ; 7 ; 3 ; 5 ; 4 ; 7 ; -   ; -   ; -   ; 14 ; -   ; -   ; -   ; -   ; -   ; 4 ; 3 ; -   ; -   ; -   ; 4 ; -   ; -   ; -   ; 4 ; 5 ; 9 ; -   ; -   ; -   ; 6 ; -   ; -   ; -   
Soviet Union (former);Africa;2021; 2.106 ; 3 ; 13 ; 30 ; -   ; 401 ; 40 ; 32 ; -   ; 9 ; 201 ; 25 ; -   ; 5 ; 4 ; 67 ; 9 ; -   ; 5 ; 3 ; 6 ; -   ; 50 ; 103 ; 17 ; 14 ; 3 ; 22 ; -   ; -   ; 25 ; 6 ; 86 ; 5 ; 296 ; 38 ; -   ; 34 ; -   ; 32 ; 104 ; -   ; 5 ; 13 ; 9 ; 5 ; 67 ; 7 ; 6 ; 68 ; 194 ; 4 ; 15 ; -   
Spain;Europe;2021; 2.342 ; -   ; -   ; 28 ; 3 ; 461 ; 35 ; 33 ; -   ; 21 ; 548 ; 34 ; -   ; 9 ; 9 ; 62 ; 13 ; 8 ; 7 ; 4 ; 11 ; 6 ; 41 ; 96 ; 23 ; 10 ; -   ; 11 ; -   ; 3 ; 6 ; 4 ; 127 ; 6 ; 254 ; 32 ; -   ; 12 ; -   ; 22 ; 43 ; 16 ; 8 ; 11 ; 3 ; 8 ; 142 ; 18 ; 5 ; 50 ; 50 ; -   ; 16 ; -   
Sri Lanka;Asia;2021; 1.577 ; 4 ; -   ; 16 ; 8 ; 377 ; 10 ; 36 ; -   ; 4 ; 51 ; 27 ; -   ; 3 ; -   ; 33 ; 6 ; 5 ; 19 ; 12 ; 5 ; -   ; 91 ; 50 ; 32 ; 20 ; 3 ; 15 ; -   ; 6 ; 17 ; 4 ; 116 ; -   ; 257 ; 30 ; -   ; 24 ; 8 ; 16 ; 19 ; -   ; -   ; -   ; -   ; 12 ; 112 ; 4 ; -   ; 36 ; 44 ; -   ; 18 ; -   
Sudan;Africa;2021; 1.798 ; 4 ; -   ; 66 ; -   ; 112 ; 76 ; 24 ; -   ; 5 ; 38 ; 32 ; -   ; -   ; 10 ; 37 ; 19 ; 111 ; 21 ; 18 ; -   ; 6 ; 68 ; 35 ; 36 ; 43 ; 3 ; 28 ; -   ; 79 ; 5 ; 13 ; 52 ; -   ; 140 ; 69 ; 14 ; 39 ; 9 ; 6 ; 78 ; -   ; 3 ; -   ; 14 ; 38 ; 150 ; 34 ; -   ; 167 ; 41 ; -   ; 15 ; -   
Suriname;South America;2021; 156 ; -   ; -   ; -   ; -   ; 5 ; -   ; 4 ; -   ; -   ; 29 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 ; -   ; 83 ; -   ; -   ; -   ; 3 ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Sweden;Europe;2021; 1.039 ; 4 ; -   ; 21 ; 3 ; 332 ; 21 ; 26 ; -   ; 6 ; 123 ; 17 ; -   ; 5 ; 8 ; 17 ; 4 ; 4 ; -   ; 4 ; 4 ; -   ; 13 ; 19 ; 21 ; 13 ; -   ; -   ; -   ; -   ; 4 ; 6 ; 23 ; -   ; 95 ; 15 ; -   ; 13 ; 5 ; 12 ; 18 ; -   ; 5 ; 7 ; -   ; 6 ; 52 ; 10 ; -   ; 20 ; 47 ; -   ; 10 ; -   
Switzerland;Europe;2021; 459 ; -   ; -   ; 6 ; -   ; 118 ; 12 ; 12 ; -   ; 3 ; 64 ; 7 ; -   ; 4 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 6 ; 3 ; -   ; 3 ; -   ; -   ; 3 ; -   ; 16 ; 3 ; 60 ; 4 ; -   ; 5 ; -   ; 3 ; 14 ; -   ; -   ; -   ; -   ; -   ; 28 ; -   ; -   ; 11 ; 16 ; -   ; 4 ; -   
Syria;Asia;2021; 3.570 ; 7 ; 4 ; 165 ; 10 ; 1.099 ; 20 ; 60 ; 10 ; -   ; 213 ; 38 ; -   ; -   ; 16 ; 208 ; 22 ; 3 ; 9 ; 52 ; 10 ; 15 ; 43 ; 86 ; 182 ; 19 ; -   ; 23 ; -   ; 10 ; 21 ; 7 ; 189 ; 5 ; 191 ; 44 ; -   ; 112 ; 20 ; 30 ; 158 ; -   ; 28 ; 4 ; -   ; 18 ; 212 ; 8 ; -   ; 99 ; 22 ; 13 ; 13 ; -   
Taiwan;Asia;2021; 5.189 ; 3 ; 7 ; 73 ; 7 ; 2.620 ; 39 ; 28 ; 7 ; 7 ; 87 ; 57 ; 3 ; 32 ; 9 ; 80 ; 23 ; 12 ; 12 ; 15 ; 11 ; 3 ; 94 ; 180 ; 56 ; 23 ; -   ; 22 ; -   ; 5 ; 39 ; 7 ; 167 ; 6 ; 408 ; 49 ; -   ; 46 ; 17 ; 90 ; 73 ; -   ; 9 ; 16 ; 3 ; 14 ; 344 ; 26 ; 6 ; 57 ; 248 ; 3 ; 18 ; -   
Tajikistan;Asia;2021; 384 ; -   ; -   ; -   ; -   ; 42 ; 31 ; 3 ; -   ; -   ; 13 ; 5 ; -   ; -   ; -   ; 9 ; -   ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; 14 ; -   ; -   ; 23 ; -   ; 153 ; 7 ; -   ; -   ; -   ; 3 ; 5 ; -   ; -   ; 3 ; -   ; -   ; 17 ; -   ; -   ; 15 ; 8 ; -   ; -   ; -   
Tanzania;Africa;2021; 563 ; 4 ; -   ; 18 ; -   ; 34 ; 6 ; 7 ; -   ; -   ; 33 ; 12 ; -   ; -   ; 3 ; 16 ; 8 ; 20 ; 12 ; 16 ; -   ; -   ; 42 ; 24 ; 9 ; 17 ; -   ; 5 ; -   ; -   ; 4 ; -   ; 13 ; 3 ; 31 ; 14 ; 3 ; 27 ; -   ; -   ; 15 ; -   ; 3 ; -   ; 6 ; 7 ; 86 ; -   ; -   ; 16 ; 15 ; -   ; 11 ; -   
Togo;Africa;2021; 1.124 ; -   ; -   ; 15 ; -   ; 13 ; 8 ; 42 ; 5 ; 14 ; 16 ; 53 ; -   ; -   ; -   ; 61 ; 13 ; 73 ; 11 ; 11 ; -   ; -   ; 141 ; 15 ; 16 ; 29 ; -   ; 6 ; -   ; 48 ; 3 ; -   ; 30 ; -   ; 197 ; 51 ; -   ; 32 ; 4 ; 4 ; 46 ; -   ; -   ; -   ; 3 ; 9 ; 44 ; 5 ; -   ; 48 ; 8 ; -   ; 13 ; -   
Tonga;Oceania;2021; 345 ; -   ; 9 ; 21 ; -   ; 142 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 32 ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; 22 ; 68 ; -   ; -   ; 11 ; -   ; -   ; -   
Tunisia;Africa;2021; 404 ; -   ; -   ; 8 ; -   ; 74 ; -   ; 7 ; -   ; -   ; 34 ; 6 ; -   ; 3 ; -   ; 9 ; 5 ; -   ; -   ; -   ; 5 ; -   ; 13 ; 5 ; 17 ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 3 ; 45 ; 4 ; -   ; 8 ; 4 ; -   ; 34 ; -   ; -   ; -   ; -   ; 3 ; 22 ; -   ; -   ; 26 ; 12 ; -   ; 9 ; -   
Turkey;Asia;2021; 3.496 ; 5 ; -   ; 49 ; 6 ; 572 ; 33 ; 79 ; 26 ; 14 ; 273 ; 69 ; -   ; 6 ; -   ; 106 ; 27 ; 6 ; 11 ; 16 ; 11 ; 5 ; 85 ; 165 ; 53 ; 20 ; -   ; 20 ; -   ; 4 ; 18 ; 16 ; 469 ; 10 ; 519 ; 48 ; 4 ; 45 ; 10 ; 29 ; 111 ; -   ; 7 ; 13 ; -   ; 22 ; 226 ; 9 ; 6 ; 146 ; 80 ; -   ; 12 ; -   
Turkmenistan;Asia;2021; 171 ; -   ; -   ; -   ; -   ; 16 ; 6 ; -   ; -   ; -   ; 10 ; 3 ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; 46 ; -   ; -   ; -   ; -   ; -   ; 8 ; -   ; -   ; -   ; -   ; -   ; 13 ; 4 ; -   ; 3 ; 12 ; -   ; 5 ; -   
Thailand;Asia;2021; 6.602 ; 18 ; 25 ; 160 ; 35 ; 1.671 ; 120 ; 63 ; 9 ; 11 ; 381 ; 113 ; 8 ; 84 ; 19 ; 153 ; 95 ; 54 ; 36 ; 66 ; 21 ; 21 ; 108 ; 184 ; 110 ; 264 ; 17 ; 70 ; 9 ; 87 ; 125 ; 24 ; 81 ; 20 ; 363 ; 120 ; 21 ; 95 ; 51 ; 97 ; 143 ; -   ; 23 ; 31 ; 60 ; 62 ; 434 ; 46 ; -   ; 189 ; 290 ; 12 ; 204 ; 7 
Trinidad and Tobago;North America;2021; 4.189 ; 13 ; 6 ; 20 ; 4 ; 109 ; 11 ; 61 ; 14 ; 14 ; 764 ; 110 ; -   ; -   ; -   ; 21 ; 21 ; -   ; -   ; 17 ; 17 ; -   ; 211 ; 96 ; 19 ; 5 ; -   ; 5 ; -   ; -   ; 5 ; 4 ; 280 ; -   ; 1.739 ; 62 ; 4 ; 20 ; 4 ; 7 ; 165 ; 3 ; 10 ; 9 ; 3 ; 10 ; 175 ; -   ; -   ; 48 ; 25 ; 4 ; -   ; -   
Uganda;Africa;2021; 1.020 ; 4 ; -   ; 18 ; -   ; 122 ; 22 ; 12 ; 3 ; -   ; 20 ; 14 ; -   ; -   ; -   ; 38 ; 3 ; 11 ; 4 ; 5 ; 4 ; 8 ; 78 ; 226 ; 8 ; 41 ; -   ; 6 ; -   ; 5 ; 6 ; 4 ; 23 ; -   ; 51 ; 15 ; 5 ; 32 ; 9 ; 9 ; 21 ; -   ; 6 ; 4 ; -   ; 7 ; 73 ; 4 ; -   ; 30 ; 31 ; -   ; 9 ; -   
Ukraine;Europe;2021; 7.351 ; 8 ; 21 ; 45 ; 3 ; 1.207 ; 120 ; 99 ; 9 ; 11 ; 444 ; 78 ; -   ; 10 ; 43 ; 603 ; 38 ; 26 ; 18 ; 34 ; 3 ; 8 ; 86 ; 198 ; 126 ; 60 ; 6 ; 62 ; 14 ; 22 ; 44 ; 20 ; 364 ; 9 ; 1.253 ; 122 ; 6 ; 196 ; 21 ; 177 ; 407 ; -   ; -   ; 47 ; 45 ; 29 ; 192 ; 16 ; 3 ; 129 ; 743 ; 5 ; 45 ; -   
United Arab Emirates;Asia;2021; 745 ; -   ; -   ; 18 ; 3 ; 156 ; 6 ; 11 ; -   ; -   ; 38 ; 18 ; -   ; -   ; -   ; 33 ; 3 ; 4 ; 5 ; 3 ; 3 ; -   ; 17 ; 21 ; 25 ; 10 ; -   ; -   ; -   ; -   ; 3 ; -   ; 46 ; -   ; 54 ; 14 ; -   ; 25 ; 4 ; -   ; 24 ; -   ; -   ; -   ; -   ; 6 ; 114 ; 3 ; -   ; 31 ; 22 ; -   ; 5 ; -   
United Kingdom;Europe;2021; 11.407 ; 29 ; 16 ; 252 ; 29 ; 2.340 ; 234 ; 293 ; 27 ; 65 ; 1.272 ; 280 ; -   ; 38 ; 34 ; 243 ; 106 ; 21 ; 34 ; 61 ; 29 ; 45 ; 186 ; 463 ; 237 ; 95 ; 12 ; 75 ; 23 ; 16 ; 98 ; 88 ; 417 ; 43 ; 1.082 ; 313 ; 12 ; 175 ; 39 ; 132 ; 323 ; -   ; 39 ; 68 ; 15 ; 88 ; 945 ; 78 ; 32 ; 286 ; 333 ; 12 ; 100 ; 10 
United States;North America;2021; 251 ; -   ; -   ; 9 ; -   ; 56 ; -   ; -   ; -   ; -   ; 39 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9 ; 8 ; 5 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 15 ; -   ; 28 ; 4 ; -   ; -   ; 3 ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; 23 ; -   ; -   ; 12 ; 8 ; -   ; -   ; -   
Uruguay;South America;2021; 1.022 ; -   ; -   ; 12 ; 4 ; 43 ; 6 ; 26 ; -   ; 3 ; 337 ; 49 ; -   ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; -   ; 21 ; 48 ; 5 ; 3 ; -   ; -   ; -   ; -   ; 3 ; 5 ; 179 ; -   ; 73 ; 18 ; -   ; 9 ; -   ; 4 ; 19 ; 5 ; 3 ; 11 ; -   ; 3 ; 31 ; 27 ; 4 ; 26 ; 3 ; -   ; 6 ; -   
